Date,Temperature,Humidity,Co2_levels,Location,Wind_speed,Rainfall,Pressure,Day,Month,Year,Day_of_Week,Is_Rainy,Feels_Hot,High_CO2,Humidity_Level
1/1/2024,29.5,77,416,Karachi,16,0.3,1012,1,1,2024,0,1,0,1,Moderate
1/2/2024,27.6,78,415.8,Karachi,6,0.1,1018,2,1,2024,1,1,0,1,Moderate
1/3/2024,29.9,77,412.2,Karachi,16,0,1009,3,1,2024,2,0,0,0,Moderate
1/4/2024,32.6,81,416.7,Karachi,11,0.1,1009,4,1,2024,3,1,1,1,High
1/5/2024,27.3,86,410.5,Karachi,8,0.1,1012,5,1,2024,4,1,0,0,High
1/6/2024,27.3,76,413,Karachi,12,0.1,1009,6,1,2024,5,1,0,0,Moderate
1/7/2024,32.7,85,409,Karachi,11,0.1,1014,7,1,2024,6,1,1,0,High
1/8/2024,30.3,76,419.7,Karachi,12,0.1,1009,8,1,2024,0,1,1,1,Moderate
1/9/2024,26.6,76,414.3,Karachi,8,0,1010,9,1,2024,1,0,0,0,Moderate
1/10/2024,29.6,84,421.5,Karachi,15,0.1,1006,10,1,2024,2,1,0,1,High
1/11/2024,26.6,85,417.4,Karachi,6,0,1009,11,1,2024,3,0,0,1,High
1/12/2024,26.6,84,416.3,Karachi,11,0,1007,12,1,2024,4,0,0,1,High
1/13/2024,28.7,73,413.2,Karachi,16,0.1,1011,13,1,2024,5,1,0,0,Moderate
1/14/2024,22.3,78,411.9,Karachi,13,0.1,1005,14,1,2024,6,1,0,0,Moderate
1/15/2024,22.8,84,416.6,Karachi,10,0,1013,15,1,2024,0,0,0,1,High
1/16/2024,26.3,80,414.8,Karachi,11,0.1,1007,16,1,2024,1,1,0,0,Moderate
1/17/2024,25,75,411,Karachi,10,0.1,1015,17,1,2024,2,1,0,0,Moderate
1/18/2024,28.9,82,410.4,Karachi,6,0,1014,18,1,2024,3,0,0,0,High
1/19/2024,25.3,76,412.1,Karachi,17,0.1,1012,19,1,2024,4,1,0,0,Moderate
1/20/2024,23.8,89,420.5,Karachi,13,0,1005,20,1,2024,5,0,0,1,High
1/21/2024,32.4,88,421.6,Karachi,9,0.2,1008,21,1,2024,6,1,1,1,High
1/22/2024,27.3,83,415.6,Karachi,16,0,1007,22,1,2024,0,0,0,1,High
1/23/2024,28.2,87,415.4,Karachi,19,0.1,1008,23,1,2024,1,1,0,1,High
1/24/2024,23.7,80,414,Karachi,7,0.2,1015,24,1,2024,2,1,0,0,Moderate
1/25/2024,26.4,84,412.2,Karachi,8,0.2,1010,25,1,2024,3,1,0,0,High
1/26/2024,28.3,87,419.1,Karachi,8,0.2,1008,26,1,2024,4,1,0,1,High
1/27/2024,24.5,81,420.6,Karachi,17,0,1008,27,1,2024,5,0,0,1,High
1/28/2024,29.1,79,412.3,Karachi,16,0,1008,28,1,2024,6,0,0,0,Moderate
1/29/2024,26.2,71,414.8,Karachi,13,0.1,1012,29,1,2024,0,1,0,0,Moderate
1/30/2024,27.1,80,413.7,Karachi,15,0.1,1005,30,1,2024,1,1,0,0,Moderate
1/31/2024,26.2,84,413.7,Karachi,9,0.2,1010,31,1,2024,2,1,0,0,High
2/1/2024,33.6,85,418.6,Karachi,6,0,1011,1,2,2024,3,0,1,1,High
2/2/2024,28,83,411.1,Karachi,10,0.1,1005,2,2,2024,4,1,0,0,High
2/3/2024,24.8,77,416.4,Karachi,16,0.1,1006,3,2,2024,5,1,0,1,Moderate
2/4/2024,30.5,70,417.2,Karachi,18,0.2,1010,4,2,2024,6,1,1,1,Moderate
2/5/2024,24.3,78,414.6,Karachi,11,0,1014,5,2,2024,0,0,0,0,Moderate
2/6/2024,28.6,78,417.7,Karachi,12,0.3,1014,6,2,2024,1,1,0,1,Moderate
2/7/2024,22.1,78,415.4,Karachi,9,0.1,1008,7,2,2024,2,1,0,1,Moderate
2/8/2024,24,83,418.7,Karachi,12,0.2,1014,8,2,2024,3,1,0,1,High
2/9/2024,28.6,90,410.4,Karachi,12,0.1,1009,9,2,2024,4,1,0,0,High
2/10/2024,30.2,81,414,Karachi,18,0.1,1009,10,2,2024,5,1,1,0,High
2/11/2024,28.5,79,414.8,Karachi,8,0,1010,11,2,2024,6,0,0,0,Moderate
2/12/2024,27.7,79,407,Karachi,11,0.2,1013,12,2,2024,0,1,0,0,Moderate
2/13/2024,27.1,81,411.7,Karachi,16,0.1,1008,13,2,2024,1,1,0,0,High
2/14/2024,23.6,76,412.6,Karachi,17,0.1,1009,14,2,2024,2,1,0,0,Moderate
2/15/2024,25.8,81,417.8,Karachi,13,0,1006,15,2,2024,3,0,0,1,High
2/16/2024,26.6,82,412.9,Karachi,14,0.1,1011,16,2,2024,4,1,0,0,High
2/17/2024,31.2,81,412.5,Karachi,8,0,1013,17,2,2024,5,0,1,0,High
2/18/2024,29,82,417.5,Karachi,13,0,1013,18,2,2024,6,0,0,1,High
2/19/2024,22.7,82,410.1,Karachi,16,0,1006,19,2,2024,0,0,0,0,High
2/20/2024,29,71,408.8,Karachi,8,0,1009,20,2,2024,1,0,0,0,Moderate
2/21/2024,26.8,83,413.9,Karachi,5,0.1,1014,21,2,2024,2,1,0,0,High
2/22/2024,26,77,410.7,Karachi,8,0,1011,22,2,2024,3,0,0,0,Moderate
2/23/2024,29.8,75,410.8,Karachi,6,0,1010,23,2,2024,4,0,0,0,Moderate
2/24/2024,31.1,74,416.7,Karachi,10,0,1010,24,2,2024,5,0,1,1,Moderate
2/25/2024,30.8,82,417.6,Karachi,17,0.1,1012,25,2,2024,6,1,1,1,High
2/26/2024,25.5,79,417.4,Karachi,19,0.1,1011,26,2,2024,0,1,0,1,Moderate
2/27/2024,27.1,72,418.3,Karachi,19,0,1008,27,2,2024,1,0,0,1,Moderate
2/28/2024,29,82,418.7,Karachi,12,0.1,1013,28,2,2024,2,1,0,1,High
2/29/2024,30.9,73,408.6,Karachi,10,0.1,1006,29,2,2024,3,1,1,0,Moderate
3/1/2024,26.6,81,416.4,Karachi,13,0.2,1014,1,3,2024,4,1,0,1,High
3/2/2024,27.4,81,413.4,Karachi,10,0,1007,2,3,2024,5,0,0,0,High
3/3/2024,24.7,84,412.8,Karachi,15,0.2,1012,3,3,2024,6,1,0,0,High
3/4/2024,24.4,89,416.7,Karachi,11,0,1010,4,3,2024,0,0,0,1,High
3/5/2024,30.4,73,409.8,Karachi,16,0.1,1009,5,3,2024,1,1,1,0,Moderate
3/6/2024,32.1,80,409.7,Karachi,9,0.1,1014,6,3,2024,2,1,1,0,Moderate
3/7/2024,27.8,79,416.9,Karachi,12,0,1012,7,3,2024,3,0,0,1,Moderate
3/8/2024,31,82,416.5,Karachi,6,0.1,1010,8,3,2024,4,1,1,1,High
3/9/2024,29.1,81,415.4,Karachi,6,0.1,1015,9,3,2024,5,1,0,1,High
3/10/2024,26.1,78,412.4,Karachi,15,0.1,1013,10,3,2024,6,1,0,0,Moderate
3/11/2024,29.1,78,417.2,Karachi,12,0.1,1008,11,3,2024,0,1,0,1,Moderate
